Timestamp,What country do you work in?,Where is the closest major city or hub?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of ,Company Detail - Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,List other relevant and recognized certifications,[Optional] Briefly describe your position,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Overtime Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,Compensation - Sign on Bonus Value,Compensation - Stock Options,Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Compensation - Most recent annual yearly raise (%),[OPTIONAL] Sign on - Relocation Assistance Total Value,[Optional] Company Review
10/4/2023 17:17,United States,Houston ,Academia/Research/Institution,MD Anderson ,Private,5000+,Institute Associate Scientist II,Masters or Equivalent,None,Protein science - mAb expression ,3,70100,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,TRS,,5.50%,,
10/9/2023 11:34,United States,Baltimore,Academia/Research/Institution,"University of Maryland, Baltimore",Academia/College/Universities,5000+,Research Assistant,Bachelors or Equivalent,None,Working under a professor studying mitochondria,1,47000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,0,Retirement Supplement Plan (contracted,Unknown,Have not been long enough to have an annual yearly raise,,"7/10, very hands-off professor, communication within the lab could use some work, extremely easy job. Unsure if my undergraduate research gave me a pay increase. Tuition reimbursement if I decide to get my phD here."
10/14/2023 13:39,United States,Buffalo,Academia/Research/Institution,Prefer not to say,Public,5000+,Res Asst Prof,PhD or Equivalent,None,Manage Preclincal Trials and MRI facility,8,88750,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
7/31/2023 15:05,United States ,New York,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,1-50,Lab Technician ,Bachelors or Equivalent,None,Computational biologist. Working with computer vision and image processing ,1,46800,1.5x base,Not Applicable/None,Not Applicable/None,,,,With dental and vision around 40 a month deductibles,Have not been long enough to have an annual yearly raise,0,Working for an established university lab is like working at a startup- you jave to wear a lot of hats. For me its from software dev to data engineer to analyst
10/27/2023 20:11,United States ,New York ,Academia/Research/Institution,Memorial Sloan Kettering Cancer center ,Academia/College/Universities,5000+,Scientific research lead,Masters or Equivalent,None,,8,113000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,,3% match ,,3%,,Love it
5/31/2023 10:58,United States,Boston,Agriculture/Food,Greenlight Biosciences,Private,200-1000,Research Associate II,Bachelors or Equivalent,None,,2,78000,N/A (no overtime/salaried),10%,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
8/22/2023 11:40,United States,Research Triangle,Agriculture/Food,Prefer not to say,Start-up,1-50,Manager,PhD or Equivalent,None,"Manager - Work as a team lead for 6 people managing projects, giving scientific feedback, working with upper management to drive strategy. ",4,95000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,1000,0.15% vesting over 4 years ,401k match up to 4%,"75% coverage with BCBS for medical and dental, 100% coverage of vision",Company/Institution does not have annual yearly raise,,The company atmosphere is good (though it has been tumultuous at times). Good opportunity for quick advancement. Below average compensation. 
8/22/2023 18:47,United States,Research Triangle,Agriculture/Food,Prefer not to say,Start-up,1-50,Senior Scientist /Team Lead,Bachelors or Equivalent,None,Senior Scientist- Lead microbial projects for a small startup company.  Manage 1 RA and 1Scientist.,17,110000,N/A (no overtime/salaried),"11,000",Not Applicable/None,,,4% 401K match,150,Received promotion and salary bump for that.  ,,
12/7/2023 20:47,United States,Bay Area,Agriculture/Food,Prefer not to say,Start-up,1-50,Research Associate III,Masters or Equivalent,None,,6,75000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
7/31/2023 23:16,United States,Research Triangle,Agriculture/Food,Prefer not to say,Private,50-200,Research Associate I,Bachelors or Equivalent,GLP,Plant Pathologist: Develop bioassays for screening early candidates in product pipeline,5,65000,N/A (no overtime/salaried),"Technically 15%, but with budget constraints, I don't think we'll get one at all.",Not Applicable/None,0,"1500 stocks, but that's worthless for my company at $0.30/share",No 401k match :(,"$15 copay, $1000 ded, BCBSMA, Total OOP is $5230",3%,,"Great culture at lower levels, horrible executive strategy at higher levels"
3/29/2023 9:06,United States,Bay Area,Agriculture/Food,Prefer not to say,Start-up,200-1000,Associate scientist ,Bachelors or Equivalent,None,,8,119000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,Premium fully paid (Kaiser),Company/Institution does not have annual yearly raise,,
3/30/2023 6:00,United States,DC,Agriculture/Food,FDA,Government,5000+,Biologist,PhD or Equivalent,None,Senior bioinformatician. Non-supervisory. ,8,145000,N/A (no overtime/salaried),3500,Not Applicable/None,,,401k matching 5% and pension,">10 health insurance plans to chose from, linked optional FSA",3.50%,,Great work-life balance
4/1/2023 13:26,United States,Research Triangle,Agriculture/Food,Prefer not to say,Start-up,1-50,Scientist,PhD or Equivalent,None,Assay development for pesticide discovery research,5,95000,N/A (no overtime/salaried),9500,Not Applicable/None,,"Equity offered as ""incentive unit"" grants on hire and occasional bonuses; I do not assign them monetary value at the current company's stage (Series A)",4% 401k match,"Good health insurance provided at zero cost for employee coverage, 10% premium cost for family coverage.  Dental and vision insurance provided at zero cost for employee and family coverage.  ",Company/Institution does not have annual yearly raise,,
10/4/2023 18:13,United States,Bay Area,Agriculture/Food,USDA,Government,200-1000,Microbiologist,Bachelors or Equivalent,None,,1,71000,1.5x,Not Applicable/None,Not Applicable/None,,,,,20%,,
10/8/2023 8:42,United States,"RTP, NC",Agriculture/Food,Syngenta,Public,5000+,sr scientist,PhD or Equivalent,None,,3,99000,N/A (no overtime/salaried),10% or 9900,Not Applicable/None,,,,,3.5,,
7/21/2023 8:41,United States,Indianapolis,Analytical Equipment,Shimadzu Scientific Instruments,Private,200-1000,Technical Support Scientist,Bachelors or Equivalent,None,Advanced customer support,3,88000,N/A (no overtime/salaried),7000,Not Applicable/None,,,2% match 401k,Good- Many options from cheap to expensive,Have not been long enough to have an annual yearly raise,8000,Very Positive
10/20/2023 7:11,Austria,Vienna,Animal Health,MSD,Private,200-1000,Sr. Technician,Masters or Equivalent,None,QC,3,40240,"1,5x",Not Applicable/None,Not Applicable/None,0,0,0,European Healthcare Standard,Company/Institution does not have annual yearly raise,,
8/23/2023 8:22,United States,Syracuse,Animal Health,Prefer not to say,Start-up,50-200,Operations Scientist,Masters or Equivalent,None,Project management for new product,11,110000,N/A (no overtime/salaried),10000,Not Applicable/None,5000,9500,401K 3% match,"Blue Cross Blue Shield health (pretty high employee contribution), Guardian Dental, Vision, Life, Pet Insurance, HSA/FSA.",3.5,5000,"It's a startup, so hectic and a lot of turnover. But generally fun work, all things considered."
12/16/2023 23:11,United States ,"Minneapolis, mn",Bioengineered organs,Prefer not to say,Public,1000-5000,Bioprocessing tech,Bachelors or Equivalent,None,Cellular manufacturing ,10,70000,N/A (no overtime/salaried),14000,14000,0,0,40%401k match,Yes,Have not been long enough to have an annual yearly raise,0,
3/29/2023 1:55,United States,Bay Area,Biotech,Prefer not to say,Start-up,50-200,Scientist I,Masters or Equivalent,None,,5,117000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,,401k 4% match,,Company/Institution does not have annual yearly raise,,
4/8/2023 23:20,United States,Bay Area,Biotech,Prefer not to say,Public,1000-5000,Sr Field Applications Scientist,Masters or Equivalent,None,,7,127000,N/A (no overtime/salaried),12500,20000,,,,,3,,
4/14/2023 2:11,United States,San Francisco,Biotech Software,Benchling,Private,200-1000,Product Marketing Manager,PhD or Equivalent,None,,5,198000,N/A (no overtime/salaried),20000,100000,,,3%,Covered,Have not been long enough to have an annual yearly raise,,
3/29/2023 18:19,United States,Boston,Biotech VC,Prefer not to say,Private,50-200,VP,PhD or Equivalent,None,,12,350000,N/A (no overtime/salaried),Not Applicable/None,250000,100000,,401k match (up to 4%),"HDHP only, $3k HSA contribution",Have not been long enough to have an annual yearly raise,,
3/29/2023 13:52,United States,Boston,CDMO,Resilience,Start-up,1000-5000,Senior Associate Scientist,Bachelors or Equivalent,None,Senior Associate Scientist - Plan and execute experiments to advance external gene therapy pipelines,4,124800,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,0,6%,,Have not been long enough to have an annual yearly raise,,
3/29/2023 6:33,United States,Boston,Cdmo,Prefer not to say,Private,50-200,Sr. Scientist ,Masters or Equivalent,None,PD - no reports,7,97000,N/A (no overtime/salaried),10,Not Applicable/None,0,,,,4,,
4/11/2023 0:08,Canada,Vancouver,Cell culture/separation,STEMCELL tech,Private,1000-5000,"Marketing dpt, lower ranks",Masters or Equivalent,None,SciComm,1,60000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,"A bit of RRSP matching, not much though","Great benefits, dental, mental health, even fertility counseling/treatment now",Have not been long enough to have an annual yearly raise,,"Pay is abysmally low for one if the highest COL areas on the planet. Overall positive company culture, but painfully micro-managey."
3/29/2023 15:44,United States,San Diego,Cell therapy,NKGen,Start-up,50-200,Lead Manufacturing Associate ,Masters or Equivalent,None,NA,5,100000,1.5,Not Applicable/None,Not Applicable/None,0,None,None,HMO - Kaiser Plat,8%,0,10-Jul
12/13/2023 15:27,United States,San Diego,Cell Therapy,Artiva Biotherapeutcs,Start-up,1-50,Process Development Associate III,Bachelors or Equivalent,None,Process development for cell therapy,7,100000,N/A (no overtime/salaried),10000,Not Applicable/None,0,N/A,None,"Health, dental, and vision are all completely covered for yourself. Additional charges for spouse and children.",Have not been long enough to have an annual yearly raise,8000,10-Sep
7/12/2023 1:52,United States,Bay Area,Chemical, Biosearch Technologies,Subsidiary,200-1000,Production Technician,Bachelors or Equivalent,None,Oligonucleotide Synthesis,1,55000,1.5x base for up to 2 hours on an 8hr day. 2x after 10hr day. ,"3,000",Not Applicable/None,,,401k match 100% up to 3 and 50% after up to 5,"BCBS - most expensive of the choices at $64 biweekly for one person. 8$ per month for eye, dental is nominal cost. ",3%,0,10-Jun
11/30/2023 13:23,United States,San Diego,Chemical,BroadPharm,Private,1-50,Research Associate,Bachelors or Equivalent,None,"Bioconjugation, Organic Chemistry, Analytical chemistry ",2,65000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
10/27/2023 15:21,United States,Bay Area,Chemical,Thermo,Public,5000+,Scientist III,PhD or Equivalent,None,Process Development,3,120000,N/A (no overtime/salaried),9%,Not Applicable/None,,,,,3-5%,,
3/29/2023 11:29,United States,Chicago,Chemical,Thermo Fisher Scientific,Public,5000+,Scientist I,Bachelors or Equivalent,None,,2,71500,N/A (no overtime/salaried),"3,500",Not Applicable/None,,Discount on company stock,6% 401k match ,,3.20%,,
3/29/2023 16:05,United States,"Atlanta, GA",Contract Research Organization,Prefer not to say,Public,1000-5000,Global Project Manager II,Masters or Equivalent,None,Global Project Manager - no direct reports,2,90000,N/A (no overtime/salaried),5% - dependent on company performance,Not Applicable/None,6000,10% RSU; vested after 3 years - dependent on performance,4.5% match on 6%,Multiple options; HSA available,3.8% - dependent on performance,0,8; much better than previous CRO I was PM at
10/25/2023 22:03,United States,Minneapolis,Cosmetics,Prefer not to say,Private,200-1000,Regulatory Compliance Analyst,Bachelors or Equivalent,None,,2,52000,N/A (no overtime/salaried),3000,Not Applicable/None,,,401k match 3%,,Have not been long enough to have an annual yearly raise,,
7/28/2023 9:54,India,Bangalore ,CRO,Prefer not to say,Private,200-1000,Sr.Scientist,PhD or Equivalent,None,Manage 5 Junior scientists ,6,17045,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,10,,
3/29/2023 13:21,United States,Boston,CRO,Prefer not to say,Private,200-1000,Project Manager I,PhD or Equivalent,None,,0,80000,N/A (no overtime/salaried),5%,Not Applicable/None,,,4% match,,Have not been long enough to have an annual yearly raise,,
4/7/2023 5:07,United States,San Diego ,CRO,Prefer not to say,Private,1000-5000,Director business development ,Bachelors or Equivalent,None,,3,140000,N/A (no overtime/salaried),60000,Not Applicable/None,0,,,,Have not been long enough to have an annual yearly raise,,
5/18/2023 17:50,United States,Atlanta,CRO,Prefer not to say,Subsidiary,1000-5000,Supply Chain Manager,Masters or Equivalent,None,,5,123000,N/A (no overtime/salaried),12000,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
11/18/2023 19:52,United States,"Wilmington,DE",CRO,Prefer not to say,Private,200-1000,Associate Scientist ,Bachelors or Equivalent,None,,2,42000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,401k 4% match,,Have not been long enough to have an annual yearly raise,,
8/2/2023 1:00,United States ,San Diego ,CRO,Eurofins ,Subsidiary,1-50,associate Scientist ,Bachelors or Equivalent,None,,3,60000,1.5x,Not Applicable/None,Not Applicable/None,5000,,,,Have not been long enough to have an annual yearly raise,,
9/8/2023 20:38,Canada,Toronto,Devices,Prefer not to say,Public,200-1000,Scientist II,PhD or Equivalent,None,,10,100000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,match upto 5%,,2,,
7/12/2023 6:40,Germany,Berlin,Devices,Prefer not to say,Private,50-200,Field application scientist,PhD or Equivalent,None,,4,76000,N/A (no overtime/salaried),5%,Not Applicable/None,,,,,10%,,
12/3/2023 18:54,United Kingdom,"Cambridge, UK",Devices,Illumina,Public,5000+,Senior Scientist,PhD or Equivalent,None,"Senior Scientist in R&D, no managment responsibilities",1,52000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
3/29/2023 13:01,United States,Bay Area,Devices,Prefer not to say,Private,50-200,Senior Data Scientist,Bachelors or Equivalent,None,,5,170000,N/A (no overtime/salaried),Not Applicable/None,100000,,,401k,High Deductible HSA,10,,
4/6/2023 21:38,United States,Boston,Devices,Bio-Rad Laboratories,Public,5000+,Field Application Scientist II,PhD or Equivalent,None,Help customers by training them on machines and answering questions,7,104000,N/A (no overtime/salaried),28000,Not Applicable/None,,,5% 401K,,3,,It’s a good place to work
5/20/2023 12:24,United States,Boston,Devices,Prefer not to say,Private,200-1000,Scientist,PhD or Equivalent,None,,0,125000,N/A (no overtime/salaried),9375,Not Applicable/None,5000,~5000 RSOs vesting over 4 years,No 401k match,,Have not been long enough to have an annual yearly raise,5000,
3/29/2023 6:44,United States ,Boston,Devices,Prefer not to say,Private,200-1000,"Senior Manager, Program Management",PhD or Equivalent,None,,4,170000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,0,50% match up to 6%,"BlueCross MA HMO, PPO, HSA",Have not been long enough to have an annual yearly raise,,
11/12/2023 1:35,United States,Bay Area,Devices,Prefer not to say,Start-up,50-200,Scientist II,PhD or Equivalent,None,R&D technical lead. Manage 3 junior scientists,2,170,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,20000,30000,,,Company/Institution does not have annual yearly raise,,
4/11/2023 21:43,United States,New Haven,Devices,Prefer not to say,Public,200-1000,Associate Scientist,Bachelors or Equivalent,None,,3,73000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,Options dependent on position and/or time at the company,401k match 3%,,4,,
7/16/2023 18:51,United States,Bay area,Devices,Prefer not to say,Public,200-1000,Research Associate,Bachelors or Equivalent,None,Histology ,2,77000,1.5x,Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
8/25/2023 21:20,United States,San Diego,Devices,Prefer not to say,Public,5000+,Senior Staff Scientist ,PhD or Equivalent,None,,14,180000,N/A (no overtime/salaried),18000,70000,10000,,3% 401k match,,15%,,Sinking ship
10/9/2023 19:22,United States,San Diego,Devices,Prefer not to say,Public,5000+,Technical Service Engineer ,Bachelors or Equivalent,None,,3,83782,1.5x base. 2x base on weekends,7-15%,Not Applicable/None,,,,,2-4%,,
11/10/2023 14:35,United States,Chicago,Devices,Thermo Fisher Scientific,Public,5000+,Engineer II,Masters or Equivalent,None,R&D mechanical engineer working with scientists on instruments ,2,90000,N/A (no overtime/salaried),6%,Not Applicable/None,,,6% 401k match,"$25/pay period for HPDP with $2500 deductible, $500 HSA benefit",Company/Institution does not have annual yearly raise,7000,"Large, disjointed, difficult to find what you need, but what you need does exist "
9/18/2023 1:26,United States,Bay Area,Diagnostics,Prefer not to say,Start-up,200-1000,Senior Technical Product Manager ,PhD or Equivalent,None,"Products are clinical (CLIA/FDA) in the areas: Bioinformatics, Data analytics, Software, Algorithms",6,180000,N/A (no overtime/salaried),27000,Not Applicable/None,,"Options as a starting grant with flat strike price, 4 year vest with 1 year cliff",4% 401K match,Low out of pocket for HDHP (and PPO/HMO options) with employer HSA contributions covering 50-80% of deductible ,Company/Institution does not have annual yearly raise,,
10/22/2023 1:18,United States,Salt Lake City,Diagnostics ,Prefer not to say,Start-up,1-50,Bioinformatics Engineer,Associate’s Degree or Equivalent,None,"In my Bachelors, part time/full time position ",1,52000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,403c 6%,Full health + dental,10,,10-Nov
4/30/2023 0:09,United States,Boston,Energy,Prefer not to say,Private,50-200,Research Scientist ,Bachelors or Equivalent,None,,3,115000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,3%,,
10/29/2023 17:27,United States,"Columbus, Ohio",Gene therapy,Forge Biologics,Private,200-1000,Sr Associate Scientist,Masters or Equivalent,None,,4,75000,N/A (no overtime/salaried),5000,Not Applicable/None,,,,,7%,,
6/12/2023 22:39,United States,Chicago,Genomics,Prefer not to say,Private,1000-5000,QA specialist,Bachelors or Equivalent,None,,3,80000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,5000,NA,NA,Average BCBS insurance,Have not been long enough to have an annual yearly raise,,
3/29/2023 14:48,United States,Columbus ,Genomics,Prefer not to say,Private,200-1000,Sr. Fas II,PhD or Equivalent,None,,15,129000,N/A (no overtime/salaried),19350,Not Applicable/None,15000,6000,401K match,no out of pocket but high deduct,3,,great company
4/1/2023 0:05,United States,Seattle,Government,Prefer not to say,Government,200-1000,Microbiologist,Bachelors or Equivalent,None,,0,54000,1.5x base,Not Applicable/None,Not Applicable/None,,,,,5%,,
10/22/2023 21:03,United States,Boston,Hospital,Prefer not to say,Public,5000+,Bioinfomratics Analyst,Bachelors or Equivalent,None,,1,72000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,0,100% mathc up to 6%,Great Insurance,Have not been long enough to have an annual yearly raise,,
8/16/2023 20:21,United States,New York City,Immuno oncology,Prefer not to say,Public,1-50,Senior Scientist,PhD or Equivalent,None,,2,130000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,None,401k match 4%,,Company/Institution does not have annual yearly raise,,
